"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"1","A1",3,2,0.666666666666667,"ETF"
"2","A10",2,2,1,"ETF"
"3","A11",7,4,0.571428571428571,"ETF"
"4","A12",6,5,0.833333333333333,"ETF"
"5","A13",3,3,1,"ETF"
"6","A2",2,2,1,"ETF"
"7","A3",1,1,1,"ETF"
"8","A4",2,2,1,"ETF"
"9","A5",2,0,0,"ETF"
"10","A6",3,2,0.666666666666667,"ETF"
"11","A7",5,3,0.6,"ETF"
"12","A8",2,2,1,"ETF"
"13","A9",5,4,0.8,"ETF"
"14","I1",35,23,0.657142857142857,"ETF"
"15","I2",13,7,0.538461538461538,"ETF"
"16","I3",6,3,0.5,"ETF"
"17","I4",3,3,1,"ETF"
"18","I5",7,6,0.857142857142857,"ETF"
"19","I6",31,20,0.645161290322581,"ETF"
"20","P1",10,7,0.7,"ETF"
"21","P2",6,3,0.5,"ETF"
"22","P3",8,3,0.375,"ETF"
"23","R1",2,1,0.5,"ETF"
"24","R10",1,1,1,"ETF"
"25","R100",1,1,1,"ETF"
"26","R101",1,1,1,"ETF"
"27","R102",1,1,1,"ETF"
"28","R103",7,5,0.714285714285714,"ETF"
"29","R104",1,0,0,"ETF"
"30","R105",1,1,1,"ETF"
"31","R106",1,1,1,"ETF"
"32","R107",1,1,1,"ETF"
"33","R108",2,1,0.5,"ETF"
"34","R109",1,1,1,"ETF"
"35","R11",3,1,0.333333333333333,"ETF"
"36","R110",4,2,0.5,"ETF"
"37","R111",1,1,1,"ETF"
"38","R112",1,0,0,"ETF"
"39","R113",16,10,0.625,"ETF"
"40","R114",13,8,0.615384615384615,"ETF"
"41","R115",2,2,1,"ETF"
"42","R116",5,2,0.4,"ETF"
"43","R117",2,1,0.5,"ETF"
"44","R118",30,11,0.366666666666667,"ETF"
"45","R119",5,3,0.6,"ETF"
"46","R12",1,1,1,"ETF"
"47","R120",1,1,1,"ETF"
"48","R121",1,1,1,"ETF"
"49","R122",1,1,1,"ETF"
"50","R123",1,1,1,"ETF"
"51","R124",1,0,0,"ETF"
"52","R125",2,0,0,"ETF"
"53","R126",1,1,1,"ETF"
"54","R127",11,5,0.454545454545455,"ETF"
"55","R128",3,2,0.666666666666667,"ETF"
"56","R129",3,2,0.666666666666667,"ETF"
"57","R13",10,6,0.6,"ETF"
"58","R130",1,1,1,"ETF"
"59","R131",2,1,0.5,"ETF"
"60","R132",16,8,0.5,"ETF"
"61","R133",2,2,1,"ETF"
"62","R134",2,1,0.5,"ETF"
"63","R135",4,2,0.5,"ETF"
"64","R136",3,0,0,"ETF"
"65","R137",7,3,0.428571428571429,"ETF"
"66","R138",3,3,1,"ETF"
"67","R139",10,6,0.6,"ETF"
"68","R14",2,1,0.5,"ETF"
"69","R140",4,3,0.75,"ETF"
"70","R141",3,3,1,"ETF"
"71","R142",4,1,0.25,"ETF"
"72","R143",9,7,0.777777777777778,"ETF"
"73","R144",2,1,0.5,"ETF"
"74","R145",1,0,0,"ETF"
"75","R146",3,1,0.333333333333333,"ETF"
"76","R147",7,3,0.428571428571429,"ETF"
"77","R148",1,0,0,"ETF"
"78","R149",11,3,0.272727272727273,"ETF"
"79","R15",1,1,1,"ETF"
"80","R150",4,3,0.75,"ETF"
"81","R151",5,1,0.2,"ETF"
"82","R152",17,8,0.470588235294118,"ETF"
"83","R153",2,2,1,"ETF"
"84","R154",5,4,0.8,"ETF"
"85","R155",3,2,0.666666666666667,"ETF"
"86","R156",19,5,0.263157894736842,"ETF"
"87","R157",2,2,1,"ETF"
"88","R158",4,3,0.75,"ETF"
"89","R159",4,2,0.5,"ETF"
"90","R16",1,0,0,"ETF"
"91","R160",3,2,0.666666666666667,"ETF"
"92","R161",12,8,0.666666666666667,"ETF"
"93","R162",1,0,0,"ETF"
"94","R163",9,8,0.888888888888889,"ETF"
"95","R164",4,0,0,"ETF"
"96","R17",1,1,1,"ETF"
"97","R18",3,1,0.333333333333333,"ETF"
"98","R19",5,2,0.4,"ETF"
"99","R2",3,1,0.333333333333333,"ETF"
"100","R20",4,4,1,"ETF"
"101","R21",1,1,1,"ETF"
"102","R22",2,2,1,"ETF"
"103","R23",1,0,0,"ETF"
"104","R24",2,2,1,"ETF"
"105","R25",1,0,0,"ETF"
"106","R26",3,2,0.666666666666667,"ETF"
"107","R27",1,0,0,"ETF"
"108","R28",2,2,1,"ETF"
"109","R29",1,0,0,"ETF"
"110","R3",2,1,0.5,"ETF"
"111","R30",1,1,1,"ETF"
"112","R31",1,1,1,"ETF"
"113","R32",1,1,1,"ETF"
"114","R33",2,2,1,"ETF"
"115","R34",2,2,1,"ETF"
"116","R35",3,2,0.666666666666667,"ETF"
"117","R36",1,1,1,"ETF"
"118","R37",2,0,0,"ETF"
"119","R38",1,0,0,"ETF"
"120","R39",2,2,1,"ETF"
"121","R4",3,3,1,"ETF"
"122","R40",1,1,1,"ETF"
"123","R41",1,0,0,"ETF"
"124","R42",2,1,0.5,"ETF"
"125","R43",1,1,1,"ETF"
"126","R44",5,2,0.4,"ETF"
"127","R45",2,2,1,"ETF"
"128","R46",2,1,0.5,"ETF"
"129","R47",1,1,1,"ETF"
"130","R48",2,1,0.5,"ETF"
"131","R49",2,1,0.5,"ETF"
"132","R5",3,2,0.666666666666667,"ETF"
"133","R50",1,0,0,"ETF"
"134","R51",1,1,1,"ETF"
"135","R52",1,1,1,"ETF"
"136","R53",1,1,1,"ETF"
"137","R54",1,1,1,"ETF"
"138","R55",1,0,0,"ETF"
"139","R56",2,0,0,"ETF"
"140","R57",1,0,0,"ETF"
"141","R58",1,1,1,"ETF"
"142","R59",1,0,0,"ETF"
"143","R6",2,1,0.5,"ETF"
"144","R60",1,1,1,"ETF"
"145","R61",1,1,1,"ETF"
"146","R62",1,1,1,"ETF"
"147","R63",3,3,1,"ETF"
"148","R64",1,0,0,"ETF"
"149","R65",2,1,0.5,"ETF"
"150","R66",1,0,0,"ETF"
"151","R67",7,4,0.571428571428571,"ETF"
"152","R68",1,1,1,"ETF"
"153","R69",2,1,0.5,"ETF"
"154","R7",3,2,0.666666666666667,"ETF"
"155","R70",1,0,0,"ETF"
"156","R71",1,0,0,"ETF"
"157","R72",1,0,0,"ETF"
"158","R73",6,4,0.666666666666667,"ETF"
"159","R74",1,1,1,"ETF"
"160","R75",1,1,1,"ETF"
"161","R76",1,1,1,"ETF"
"162","R77",1,1,1,"ETF"
"163","R78",2,2,1,"ETF"
"164","R79",1,0,0,"ETF"
"165","R8",1,1,1,"ETF"
"166","R80",1,0,0,"ETF"
"167","R81",2,1,0.5,"ETF"
"168","R82",1,0,0,"ETF"
"169","R83",4,2,0.5,"ETF"
"170","R84",1,1,1,"ETF"
"171","R85",2,0,0,"ETF"
"172","R86",5,1,0.2,"ETF"
"173","R87",1,1,1,"ETF"
"174","R88",1,1,1,"ETF"
"175","R89",2,0,0,"ETF"
"176","R9",2,1,0.5,"ETF"
"177","R90",1,0,0,"ETF"
"178","R91",1,1,1,"ETF"
"179","R92",1,0,0,"ETF"
"180","R93",1,1,1,"ETF"
"181","R94",4,3,0.75,"ETF"
"182","R95",1,1,1,"ETF"
"183","R96",1,0,0,"ETF"
"184","R97",1,0,0,"ETF"
"185","R98",1,1,1,"ETF"
"186","R99",1,0,0,"ETF"
"187","S1",2,2,1,"ETF"
"188","S10",4,2,0.5,"ETF"
"189","S100",1,1,1,"ETF"
"190","S101",3,3,1,"ETF"
"191","S102",3,2,0.666666666666667,"ETF"
"192","S103",1,1,1,"ETF"
"193","S104",3,2,0.666666666666667,"ETF"
"194","S105",1,1,1,"ETF"
"195","S106",3,2,0.666666666666667,"ETF"
"196","S107",1,1,1,"ETF"
"197","S108",1,1,1,"ETF"
"198","S109",1,1,1,"ETF"
"199","S11",3,3,1,"ETF"
"200","S110",3,1,0.333333333333333,"ETF"
"201","S111",1,0,0,"ETF"
"202","S112",1,1,1,"ETF"
"203","S113",1,1,1,"ETF"
"204","S114",1,1,1,"ETF"
"205","S116",1,1,1,"ETF"
"206","S117",2,2,1,"ETF"
"207","S119",3,3,1,"ETF"
"208","S12",1,1,1,"ETF"
"209","S120",8,7,0.875,"ETF"
"210","S121",1,1,1,"ETF"
"211","S123",2,1,0.5,"ETF"
"212","S124",5,2,0.4,"ETF"
"213","S125",3,1,0.333333333333333,"ETF"
"214","S126",1,1,1,"ETF"
"215","S127",4,3,0.75,"ETF"
"216","S13",2,0,0,"ETF"
"217","S14",2,1,0.5,"ETF"
"218","S15",2,2,1,"ETF"
"219","S16",3,2,0.666666666666667,"ETF"
"220","S17",2,0,0,"ETF"
"221","S18",4,3,0.75,"ETF"
"222","S19",2,0,0,"ETF"
"223","S2",3,2,0.666666666666667,"ETF"
"224","S20",3,1,0.333333333333333,"ETF"
"225","S21",2,2,1,"ETF"
"226","S22",3,1,0.333333333333333,"ETF"
"227","S24",5,3,0.6,"ETF"
"228","S25",3,2,0.666666666666667,"ETF"
"229","S26",5,2,0.4,"ETF"
"230","S27",1,0,0,"ETF"
"231","S28",1,1,1,"ETF"
"232","S29",2,1,0.5,"ETF"
"233","S3",4,2,0.5,"ETF"
"234","S30",4,0,0,"ETF"
"235","S31",2,1,0.5,"ETF"
"236","S32",2,2,1,"ETF"
"237","S33",4,2,0.5,"ETF"
"238","S34",4,3,0.75,"ETF"
"239","S35",2,1,0.5,"ETF"
"240","S36",3,3,1,"ETF"
"241","S37",2,1,0.5,"ETF"
"242","S38",3,1,0.333333333333333,"ETF"
"243","S39",1,0,0,"ETF"
"244","S4",2,1,0.5,"ETF"
"245","S40",3,0,0,"ETF"
"246","S41",2,2,1,"ETF"
"247","S42",3,2,0.666666666666667,"ETF"
"248","S43",2,2,1,"ETF"
"249","S44",4,2,0.5,"ETF"
"250","S45",3,1,0.333333333333333,"ETF"
"251","S46",1,1,1,"ETF"
"252","S47",3,1,0.333333333333333,"ETF"
"253","S48",2,1,0.5,"ETF"
"254","S49",2,1,0.5,"ETF"
"255","S5",3,2,0.666666666666667,"ETF"
"256","S50",1,1,1,"ETF"
"257","S51",2,1,0.5,"ETF"
"258","S52",1,1,1,"ETF"
"259","S53",2,1,0.5,"ETF"
"260","S54",1,1,1,"ETF"
"261","S55",5,3,0.6,"ETF"
"262","S56",4,3,0.75,"ETF"
"263","S57",2,1,0.5,"ETF"
"264","S58",3,2,0.666666666666667,"ETF"
"265","S59",2,2,1,"ETF"
"266","S6",3,3,1,"ETF"
"267","S60",3,2,0.666666666666667,"ETF"
"268","S61",4,1,0.25,"ETF"
"269","S62",5,3,0.6,"ETF"
"270","S63",4,3,0.75,"ETF"
"271","S64",2,1,0.5,"ETF"
"272","S65",3,2,0.666666666666667,"ETF"
"273","S66",4,4,1,"ETF"
"274","S67",4,1,0.25,"ETF"
"275","S69",2,1,0.5,"ETF"
"276","S7",1,0,0,"ETF"
"277","S70",1,1,1,"ETF"
"278","S71",4,1,0.25,"ETF"
"279","S72",5,4,0.8,"ETF"
"280","S73",1,0,0,"ETF"
"281","S74",2,1,0.5,"ETF"
"282","S75",2,1,0.5,"ETF"
"283","S76",3,2,0.666666666666667,"ETF"
"284","S77",3,1,0.333333333333333,"ETF"
"285","S78",2,1,0.5,"ETF"
"286","S79",3,2,0.666666666666667,"ETF"
"287","S8",1,1,1,"ETF"
"288","S80",4,1,0.25,"ETF"
"289","S81",2,2,1,"ETF"
"290","S82",3,2,0.666666666666667,"ETF"
"291","S83",2,0,0,"ETF"
"292","S84",5,4,0.8,"ETF"
"293","S85",2,0,0,"ETF"
"294","S86",4,0,0,"ETF"
"295","S87",2,1,0.5,"ETF"
"296","S88",3,3,1,"ETF"
"297","S89",2,1,0.5,"ETF"
"298","S9",2,2,1,"ETF"
"299","S90",3,3,1,"ETF"
"300","S91",2,2,1,"ETF"
"301","S92",2,2,1,"ETF"
"302","S93",5,3,0.6,"ETF"
"303","S94",1,1,1,"ETF"
"304","S95",3,2,0.666666666666667,"ETF"
"305","S96",3,2,0.666666666666667,"ETF"
"306","S97",3,2,0.666666666666667,"ETF"
"307","S98",2,1,0.5,"ETF"
"308","S99",1,1,1,"ETF"
"309","A1",3,1,0.333333333333333,"SLL"
"310","A10",2,1,0.5,"SLL"
"311","A11",7,3,0.428571428571429,"SLL"
"312","A12",6,5,0.833333333333333,"SLL"
"313","A13",3,2,0.666666666666667,"SLL"
"314","A2",2,1,0.5,"SLL"
"315","A3",1,0,0,"SLL"
"316","A4",2,1,0.5,"SLL"
"317","A5",2,0,0,"SLL"
"318","A6",3,1,0.333333333333333,"SLL"
"319","A7",5,1,0.2,"SLL"
"320","A8",2,0,0,"SLL"
"321","A9",5,3,0.6,"SLL"
"322","I1",35,21,0.6,"SLL"
"323","I2",13,7,0.538461538461538,"SLL"
"324","I3",6,2,0.333333333333333,"SLL"
"325","I4",3,2,0.666666666666667,"SLL"
"326","I5",7,5,0.714285714285714,"SLL"
"327","I6",31,16,0.516129032258065,"SLL"
"328","P1",10,5,0.5,"SLL"
"329","P2",6,2,0.333333333333333,"SLL"
"330","P3",8,3,0.375,"SLL"
