"","X","ABUNDANCE_TOT","ABUNDANCE_NAT","Region","Proportions"
"143","S98",9,"8","ETF",0.888888888888889
"144","S99",2,"2","ETF",1
"145","Y1",2,"1","ETF",0.5
"146","Y100",1,"1","ETF",1
"147","Y101",1,"1","ETF",1
"148","Y102",1,"1","ETF",1
"149","Y103",5,"4","ETF",0.8
"150","Y104",1,"0","ETF",0
"151","Y105",1,"1","ETF",1
"152","Y106",1,"1","ETF",1
"153","Y107",5,"5","ETF",1
"154","Y108",2,"1","ETF",0.5
"155","Y109",1,"1","ETF",1
"156","Y11",8,"2","ETF",0.25
"157","Y110",7,"2","ETF",0.285714285714286
"158","Y111",1,"1","ETF",1
"159","Y112",2,"0","ETF",0
"160","Y113",70,"48","ETF",0.685714285714286
"161","Y114",22,"12","ETF",0.545454545454545
"162","Y115",5,"5","ETF",1
"163","Y116",10,"1","ETF",0.1
"164","Y117",2,"0","ETF",0
"165","Y118",118,"56","ETF",0.474576271186441
"166","Y119",21,"11","ETF",0.523809523809524
"167","Y12",1,"1","ETF",1
"168","Y120",1,"1","ETF",1
"169","Y121",1,"1","ETF",1
"170","Y122",1,"1","ETF",1
"171","Y123",1,"1","ETF",1
"172","Y124",1,"0","ETF",0
"173","Y125",4,"0","ETF",0
"174","Y127",11,"5","ETF",0.454545454545455
"175","Y128",2,"2","ETF",1
"176","Y129",2,"1","ETF",0.5
"177","Y13",13,"8","ETF",0.615384615384615
"178","Y131",1,"0","ETF",0
"179","Y132",27,"13","ETF",0.481481481481481
"180","Y133",2,"2","ETF",1
"181","Y134",9,"8","ETF",0.888888888888889
"182","Y135",9,"7","ETF",0.777777777777778
"183","Y136",4,"0","ETF",0
"184","Y137",26,"22","ETF",0.846153846153846
"185","Y138",14,"14","ETF",1
"186","Y139",32,"14","ETF",0.4375
"187","Y14",3,"1","ETF",0.333333333333333
"188","Y140",20,"17","ETF",0.85
"189","Y141",5,"5","ETF",1
"190","Y142",10,"4","ETF",0.4
"191","Y143",40,"28","ETF",0.7
"192","Y144",11,"6","ETF",0.545454545454545
"193","Y145",1,"0","ETF",0
"194","Y146",3,"1","ETF",0.333333333333333
"195","Y147",6,"2","ETF",0.333333333333333
"196","Y148",1,"0","ETF",0
"197","Y149",25,"13","ETF",0.52
"198","Y15",2,"2","ETF",1
"199","Y150",3,"2","ETF",0.666666666666667
"200","Y151",24,"3","ETF",0.125
"201","Y152",42,"17","ETF",0.404761904761905
"202","Y153",2,"2","ETF",1
"203","Y154",5,"4","ETF",0.8
"204","Y155",8,"7","ETF",0.875
"205","Y156",26,"8","ETF",0.307692307692308
"206","Y157",8,"8","ETF",1
"207","Y158",4,"3","ETF",0.75
"208","Y159",4,"1","ETF",0.25
"209","Y16",1,"0","ETF",0
"210","Y160",2,"1","ETF",0.5
"211","Y161",25,"15","ETF",0.6
"212","Y162",1,"0","ETF",0
"213","Y163",23,"21","ETF",0.91304347826087
"214","Y164",7,"0","ETF",0
"215","Y17",1,"1","ETF",1
"216","Y18",3,"1","ETF",0.333333333333333
"217","Y19",10,"6","ETF",0.6
"218","Y2",6,"1","ETF",0.166666666666667
"219","Y20",3,"3","ETF",1
"220","Y22",7,"7","ETF",1
"221","Y23",1,"0","ETF",0
"222","Y24",1,"1","ETF",1
"223","Y25",1,"0","ETF",0
"224","Y26",3,"2","ETF",0.666666666666667
"225","Y27",1,"0","ETF",0
"226","Y28",2,"2","ETF",1
"227","Y29",1,"0","ETF",0
"228","Y3",3,"1","ETF",0.333333333333333
"229","Y30",1,"1","ETF",1
"230","Y32",3,"3","ETF",1
"231","Y33",5,"5","ETF",1
"232","Y34",2,"2","ETF",1
"233","Y35",3,"2","ETF",0.666666666666667
"234","Y36",1,"1","ETF",1
"235","Y37",4,"0","ETF",0
"236","Y38",2,"0","ETF",0
"237","Y39",8,"8","ETF",1
"238","Y4",2,"2","ETF",1
