"","ABBA","ACFR","ACRU","ACSA","ACSC","AM","AMAR","AMCA","AMGR","AMLA","AMSA","BEAL","BEPA","BEPO","CEOC","CGPU","CNRU","COAL","CRCA","CRCO","CYCO","FAGR","FRAM","FRPE","JNCO","JNVI","JUCI","JUNI","JUVI","LALA","OSVI","PIBA","PIGL","PIMA","PIRU","PNRE","PNST","PODE","PRNI","PRSE","PRVI","QUAL","QUBI","QUMA","QURU","RHAR","RHGL","RHTY"
"Private",13,20,12,68,2,0,12,18,2,2,2,2,16,4,22,5,1,1,0,0,2,2,7,112,6,11,1,3,13,5,1,1,35,9,11,20,10,5,0,3,35,1,2,14,22,2,0,4
"Public",5,72,9,551,37,2,2,8,18,2,0,5,1,0,138,6,0,0,9,10,0,0,17,173,1,0,6,20,0,10,11,0,16,1,7,4,4,3,2,1,17,3,14,54,64,0,1,0
