"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"140","S95",3,2,0.666666666666667,"ETF"
"141","S96",3,2,0.666666666666667,"ETF"
"142","S97",3,2,0.666666666666667,"ETF"
"143","S98",2,1,0.5,"ETF"
"144","S99",1,1,1,"ETF"
"145","Y1",2,1,0.5,"ETF"
"146","Y100",1,1,1,"ETF"
"147","Y101",1,1,1,"ETF"
"148","Y102",1,1,1,"ETF"
"149","Y103",4,3,0.75,"ETF"
"150","Y104",1,0,0,"ETF"
"151","Y105",1,1,1,"ETF"
"152","Y106",1,1,1,"ETF"
"153","Y107",1,1,1,"ETF"
"154","Y108",2,1,0.5,"ETF"
"155","Y109",1,1,1,"ETF"
"156","Y11",3,1,0.333333333333333,"ETF"
"157","Y110",3,1,0.333333333333333,"ETF"
"158","Y111",1,1,1,"ETF"
"159","Y112",1,0,0,"ETF"
"160","Y113",14,8,0.571428571428571,"ETF"
"161","Y114",11,7,0.636363636363636,"ETF"
"162","Y115",2,2,1,"ETF"
"163","Y116",4,1,0.25,"ETF"
"164","Y117",1,0,0,"ETF"
"165","Y118",26,11,0.423076923076923,"ETF"
"166","Y119",5,3,0.6,"ETF"
"167","Y12",1,1,1,"ETF"
"168","Y120",1,1,1,"ETF"
"169","Y121",1,1,1,"ETF"
"170","Y122",1,1,1,"ETF"
"171","Y123",1,1,1,"ETF"
"172","Y124",1,0,0,"ETF"
"173","Y125",2,0,0,"ETF"
"174","Y127",9,4,0.444444444444444,"ETF"
"175","Y128",2,2,1,"ETF"
"176","Y129",2,1,0.5,"ETF"
"177","Y13",8,5,0.625,"ETF"
"178","Y131",1,0,0,"ETF"
"179","Y132",15,8,0.533333333333333,"ETF"
"180","Y133",1,1,1,"ETF"
"181","Y134",2,1,0.5,"ETF"
"182","Y135",4,2,0.5,"ETF"
"183","Y136",3,0,0,"ETF"
"184","Y137",6,2,0.333333333333333,"ETF"
"185","Y138",2,2,1,"ETF"
"186","Y139",8,4,0.5,"ETF"
"187","Y14",2,1,0.5,"ETF"
"188","Y140",4,3,0.75,"ETF"
"189","Y141",3,3,1,"ETF"
"190","Y142",4,1,0.25,"ETF"
"191","Y143",8,6,0.75,"ETF"
"192","Y144",2,1,0.5,"ETF"
"193","Y145",1,0,0,"ETF"
"194","Y146",3,1,0.333333333333333,"ETF"
"195","Y147",6,2,0.333333333333333,"ETF"
"196","Y148",1,0,0,"ETF"
"197","Y149",10,3,0.3,"ETF"
"198","Y15",1,1,1,"ETF"
"199","Y150",3,2,0.666666666666667,"ETF"
"200","Y151",5,1,0.2,"ETF"
"201","Y152",16,8,0.5,"ETF"
"202","Y153",2,2,1,"ETF"
"203","Y154",5,4,0.8,"ETF"
"204","Y155",3,2,0.666666666666667,"ETF"
