"","GS.Type","RICHNESS","RICHNESS_NAT","Proportion","Region"
"1","Alley",23,15,0.652173913043478,"ETF"
"2","Institutional",46,27,0.58695652173913,"ETF"
"3","Parc",23,12,0.521739130434783,"ETF"
"4","Private",88,47,0.534090909090909,"ETF"
"5","Street",41,23,0.560975609756098,"ETF"
"6","Alley",23,13,0.565217391304348,"SLL"
"7","Institutional",46,23,0.5,"SLL"
"8","Parc",23,10,0.434782608695652,"SLL"
"9","Private",88,36,0.409090909090909,"SLL"
"10","Street",41,16,0.390243902439024,"SLL"
