"","ABBA","ACFR","ACNE","ACRU","ACSA","ACSC","AEGL","AM","AMAR","AMCA","AMGR","AMLA","AMSA","ARSP","BEAL","BENI","BEPA","BEPO","CCCA","CECA","CEOC","CGPU","CNFL","CNRU","COAL","CRCA","CRCO","CTSP","CYCO","CYGL","EUAT","FAGR","FRAM","FRPE","FRPR","GLTR","GYDI","HYAR","HYQU","JNCO","JNVI","JUCI","JUNI","JUVI","LALA","LITU","LQST","MACO","MAIO","MGAC","MORU","OSVI","PHPU","PIBA","PIGL","PIMA","PIRU","PNRE","PNST","PODE","PRNI","PRSE"
"Private",13,20,146,12,68,2,0,0,12,18,2,2,2,5,2,2,16,4,1,2,22,5,2,1,1,0,0,11,2,0,4,2,7,112,2,96,15,1,1,6,11,1,3,13,5,1,0,0,9,0,1,1,0,1,35,9,11,20,10,5,0,3
"Public",5,72,47,9,551,37,5,2,2,8,18,2,0,0,5,15,1,0,0,0,138,6,0,0,0,9,10,12,0,1,0,0,17,173,0,278,116,0,0,1,0,6,20,0,10,4,1,2,0,2,0,11,3,0,16,1,7,4,4,3,2,1
