"","Site.Type","Site.Code","Genus.Code","Species.Code","X","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Comments"
"46","Y","Y132","LO","LOPE",195,"LOPE","Lonicera periclymenum","","N","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=",""
"47","I","I1","EU","EUAL",42,"EUAL","Euonymous Alatus","Burning Bush","N","N","USDA/TC",""
"48","Y","Y3","EU","EUEU",163,"EUEU","Euonymus Europaeus""","European Spindle ","N","N","",""
"49","I","I1","FA","FAGR",44,"FAGR","Fagus Grandifolia ","American Beech","Y","Y","USDA/TC/LM",""
"50","A","A1","FR","FRAM",46,"FRAM","Fraxinus americana","White Ash","Y","Y","USDA/TC/LM",""
"51","A","A12","FR","FRPE",47,"FRPE","Fraxinus pennsylvanica","Red Ash","Y","Y","USDA/TC/Mortens/LM",""
"52","S","S62","FR","FRPE",47,"FRPE","Fraxinus pennsylvanica","Red Ash","Y","Y","USDA/TC/Mortens/LM",""
"53","S","S90","FR","FRPE",47,"FRPE","Fraxinus pennsylvanica","Red Ash","Y","Y","USDA/TC/Mortens/LM",""
"54","Y","Y103","FR","FRPR",200,"FRPR","Fraxinus profunda","Bush pumpkin ash","N","Y","USDA",""
"55","P","P3","GI","GIBI",48,"GIBI","Ginkgo biloba","Maidenhair Tree","N","N","Mortens/TC/USDA",""
"56","S","S89","GI","GIBI",48,"GIBI","Ginkgo biloba","Maidenhair Tree","N","N","Mortens/TC/USDA",""
"57","I","I4","GL","GLTR",49,"GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM",""
"58","P","P2","GL","GLTR",49,"GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM",""
"59","S","S46","GL","GLTR",49,"GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM",""
"60","P","P1","GL","GLTR",49,"GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM",""
"61","P","P1","GL","GLTR",49,"GLTR","Gleditsia triacanthos","Common Honey-Locust","N","Y","USDA/TC/LM",""
"62","I","I6","GY","GYDI",50,"GYDI","Gymnocladus dioicus","Kentucky Coffee Tree","N","Y","USDA/LM",""
"63","Y","Y136","HE","HEMI",210,"HEMI","Heptacodium miconioides","","N","N","http://www.dendrology.org/publications/tree-of-the-year/heptacodium-miconioides-2012/",""
"64","Y","Y118","HY","HY",204,"HY","Hydrangea x","",NA,NA,NA,""
"65","Y","Y115","HY","HYAR",202,"HYAR","Hydrangea_arborescens","","N","Y","https://www.fs.fed.us/wildflowers/plant-of-the-week/hydrangea-arborescens.shtml",""
"66","Y","Y137","HY","HYPA",51,"HYPA","Hydrangea Paniculata","Panicled Hydrangea","N","N","USDA/Mortens",""
"67","Y","Y114","JU","JUCI",55,"JUCI","Juglans cinerea","Butternut","Y","Y","USDA/TC/LM",""
"68","I","I1","JU","JUNI",56,"JUNI","Juglans nigra","Eastern Black Walnut","Y","Y","USDA/TC/LM/TIC","Very small native region in SLL (Source LM; KP)"
"69","Y","Y67","JU","JUVI",194,"JUVI","Juniperus virginiana","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/junvir/all.html",""
"70","Y","Y156","LA","LADE",58,"LADE","Larix Decidua","European Larch","N","N","USDA/TC/Mortens",""
"71","I","I6","LA","LALA",60,"LALA","Larix Laricina","Tamarack","Y","Y","USDA/TC/LM",""
"72","Y","Y7","LI","LIVU",198,"LIVU","Ligustrum vulgare","","N","N","https://www.invasiveplantatlas.org/subject.html?sub=3036",""
"73","I","I6","MA","MA",182,"MA","Magnolia x ","","N","N",NA,""
"74","Y","Y13","MG","MG",NA,NA,NA,NA,NA,NA,NA,NA
"75","Y","Y74","MA","MAIO",196,"MAIO","Malus ioensis","","N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"76","Y","Y128","MG","MGKO",84,"MGXXKO","Magnolia Kobus","Magnolia Kobus","N","N","USDA/Mortens",""
"77","P","P2","MA","MAPR",175,"MAPRRI","Malus prunifolia 'Rinki'",NA,"N","N",NA,NA
"78","I","I2","MA","MASY",71,"MASY","Malus sylvestris","Crab Apple","N","N","USDA/TC","Synonym: Malus pumila & Malus domestica"
"79","Y","Y118","MG","MGDA",170,"MGXXDA","Daybreak_Magnolia","Magnolia x 'Daybreak'","N","N","",""
"80","P","P2","MA","MARO",69,"MARO","Malus 'Robusta'","Crab Apple","N","N","USDA/https://landscapeplants.oregonstate.edu/plants/malus-robusta","Hybrid of non-native M. baccata and non-native M. prunifolia"
"81","I","I6","MA","MASS",216,"MAXXSS","Malus_x_'Spring_Snow'","","N","N",NA,""
"82","P","P3","MA","MATH",176,"MAXXTH","Malus x 'Thunderchild'","","N","N",NA,""
"83","Y","Y82","MG","MGSO",85,"MGXXSO","Magnolia Soulangeana","Saucer magnolia","N","N","TB/Mortens","Hybrid of non-native Magnolia denudata × Magnolia liliiflora"
"84","A","A11","MO","MOAL",88,"MOAL","Morus Alba","White Mulberry","N","N","USDA/TC/Mortens",""
"85","Y","Y65","MO","MORU",191,"MORU","Morus rubra","","N","Y","https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/morus/rubra.htm",""
"86","A","A9","OS","OSVI",89,"OSVI","Ostrya virginiana","American Hop-Hornbeam Ironwood","Y","Y","USDA/TC/LM",""
"87","I","I1","PI","PIAB",94,"PIAB","Picea abies","Norway Spruce","N","N","USDA/TC/Mortens",""
"88","Y","Y152","PI","PIBA",213,"PIBA","Pinus banksiana","","Y","Y","https://srs.fs.usda.gov/pubs/misc/ag_654/volume_1/pinus/banksiana.htm",""
"89","I","I6","PI","PIGL",96,"PIGL","Picea glauca","White Spruce","Y","Y","USDA/TC/LM",""
"90","A","A11","PI","PIMA",97,"PIMA","Picea Mariana","Black spruce","Y","Y","USDA/TC/LM",""
"91","I","I6","PI","PIPU",99,"PIPU","Picea pungens","Colorado Spruce","N","N","USDA/TC/LM",""
"92","Y","Y155","PI","PIRU",100,"PIRU","Picea rubens","Red Spruce","Y","Y","USDA/TC/LM",""
"93","I","I1","PN","PNNI",101,"PNNIAU","Pinus nigra 'Austriaca'","Austrian Pine","N","N","USDA/TC/Mortens",""
"94","S","S123","PN","PNNI",101,"PNNIAU","Pinus nigra 'Austriaca'","Austrian Pine","N","N","USDA/TC/Mortens",""
"95","I","I6","PN","PNRE",102,"PNRE","Pinus resinosa","Red Pine","Y","Y","USDA/TC/LM",""
"96","I","I2","PN","PNST",103,"PNST","Pinus strobus","Eastern White Pine","Y","Y","USDA/TC/LM",""
"97","I","I6","PN","PNSY",104,"PNSY","Pinus Sylvestris","Scots Pine","N","N","USDA/TC/Mortens",""
"98","P","P3","PO","POCA",177,"POCA","Populus x canadensis","","N","N","USDA/TC/Mortens",""
"99","A","A12","PO","PODE",105,"PODE","Populus Deltoides","Eastern Cottonwood","Y","Y","USDA/TC/LM",""
"100","Y","Y72","PO","PONI",106,"PONI","Populus Nigra","Lombardy poplar","N","N","USDA/TC/Mortens",""
"101","I","I6","PR","PR",211,"PR","Prunus x ","",NA,NA,NA,""
"102","Y","Y86","PR","PRAV",107,"PRAV","Prunus Avium","Sweet cherry","N","N","USDA/TC",""
"103","I","I1","PR","PRCE",108,"PRCE","Prunus Cerasifera","Cherry plum","N","N","USDA/TB",""
"104","Y","Y129","PR","PRCR",207,"PRCR","Prunus cerasus",NA,"N","N","USDA/TC",NA
"105","Y","Y136","PR","PRDO",110,"PRDO","Prunus Domestica","Garden Plum","N","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/",""
"106","Y","Y9","PR","PRPE",114,"PRPE","Prunus Persica","Batsch Peach","N","N","USDA/TB",""
"107","A","A12","PR","PRVI",117,"PRVI","Prunus virginiana","Chokecherry","Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"108","S","S53","PY","PYCA",118,"PYCA","Pyrus calleryana","Callery Pear","N","N","USDA/Mortens",""
"109","S","S21","QU","QUBI",121,"QUBI","Quercus bicolor","Swamp White Oak","Y","Y","USDA/TC/LM/NRC",""
"110","A","A12","QU","QUMA",122,"QUMA","Quercus macrocarpa","Bur Oak","Y","Y","USDA/TC/LM/NRC",""
"111","P","P3","QU","QURO",124,"QURO","Quercus robur","English Oak","N","N","USDA/TC/Mortens",""
"112","S","S19","QU","QURO",124,"QURO","Quercus robur","English Oak","N","N","USDA/TC/Mortens",""
"113","I","I6","QU","QURU",125,"QURU","Quercus rubra","Red Oak","Y","Y","TC/LM",""
"114","Y","Y67","RH","RHAR",193,"RHAR","Rhus aromatica","","Y","Y","https://www.fs.fed.us/database/feis/plants/shrub/rhuaro/all.html",""
"115","A","A11","RH","RHCA",127,"RHCA","Rhamnus Cathartica","European Buckthorn","N","N","USDA/TC/Mortens",""
"116","A","A13","RH","RHGL",219,"RHGL","Rhus glabra","","Y","Y","https://plants.sc.egov.usda.gov/home/plantProfile?symbol=RHGL",""
"117","I","I1","RH","RHTY",184,"RHTY","Rhus typhina","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/rhutyp/all.html",""
"118","Y","Y35","RO","ROCA",187,"ROCA","Rosa canina","","N","N","https://www.sciencedirect.com/topics/immunology-and-microbiology/rosa-canina",""
"119","A","A7","RO","ROPS",128,"ROPS","Robinia pseudoacacia","Black Locust","N","Y","TC/lLM/Mortens",""
"120","Y","Y90","SA","SAAL",131,"SAALTR","Salix alba 'Tristis'","Golden Weeping Willow","N","N","USDA/Mortens",""
"121","I","I5","SA","SACA",190,"SACA","Sambucus canadensis","","Y","Y",NA,""
"122","I","I1","SA","SADI",132,"SADI","Salix Discolor","Pussy Willow","Y","Y","USDA/LM",""
"123","Y","Y67","SA","SAHU",192,"SAHU","Salix humboldtiana","","N","N","http://orton.catie.ac.cr/repdoc/A0008S/A0008S73.PDF",""
"124","A","A12","SO","SOAM",188,"SOAM","Sorbus americana ","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/sorame/all.html",""
"125","Y","Y42","SO","SOAU",134,"SOAU","Sorbus aucuparia","European Mountain Ash","N","N","USDA/TC",""
"126","Y","Y19","SO","SOTH",183,"SOXXTH","Sorbus_x_thuringiaca","","N","N","https://forest.jrc.ec.europa.eu/media/atlas/Sorbus_aria.pdf",""
"127","Y","Y127","MG","MGST",171,"MGST","Magnolia Stellata","Magnolia Stellata","N","N","Missouri Botanical Garden",""
"128","Y","Y136","SY","SYPU",209,"SYPU","Syringa pubescens","","N","N","https://plants.ces.ncsu.edu/plants/syringa-pubescens-subsp-pubescens/",""
"129","Y","Y46","SY","SYRE",137,"SYRE","Syringa reticulata","Japanese Tree Lilac","N","N","USDA/Mortens",""
"130","Y","Y127","SY","SYRE",137,"SYRE","Syringa reticulata","Japanese Tree Lilac","N","N","USDA/Mortens",""
"131","A","A11","SY","SYVU",138,"SYVU","Syringa Vulgaris ","Common Lilac","N","N","USDA/TC/Mortens",""
"132","I","I1","TA","TACA",139,"TACA","Taxus Canadensis","Canadian Yew","Y","Y","USDA/TC/LM",""
"133","A","A6","TH","THOC",140,"THOC","Thuja occidentalis","Eastern White Cedar","Y","Y","USDA/TC/LM",""
"134","I","I6","TI","TIAM",141,"TIAM","Tilia americana","American Basswood","Y","Y","Mortens/LM",""
"135","Y","Y154","TI","TIAM",141,"TIAM","Tilia americana","American Basswood","Y","Y","Mortens/LM",""
