"","ABBA","ACFR","ACGI","ACMI","ACNE","ACNI","ACPA","ACPL","ACRU","ACSA","ACSC","ACTA","AECA","AEGL","AEHI","ALGL","AM","AMAR","AMCA","AMGR","AMLA","AMSA","ARSP","BBVU","BEAL","BENI","BEPA","BEPE","BEPO","BRPA","CAAB","CCCA","CDJA","CECA","CEOC","CGMO","CGPU","CHNO","CHPI","CNFL","CNRU","COAL","COCO","COSA","CRCA","CRCO","CTCO","CTSP","CYCO","CYGL","ELAN","EUAL","EUAT","EUEU","FAGR","FASY","FRAM","FRPE","FRPR","GIBI","GLTR","GYDI","HEMI","HYAR","HYPA","HYQU","JNCO","JNSC","JNVI","JUCI","JUNI","JURE","JUVI","LADE","LAKA","LALA","LIAM","LITU","LIVU","LOMA","LOPE","LOTA","LOXY","LQST","LYCH","MABA","MACO","MADO","MAIO","MALO","MAPR","MARO","MASS","MASY","MATH","MCAM","MGAC","MGKO","MGSN","MGSO","MGSU","MOAL","MORU","OSVI","PHAM","PHCO","PHPU","PHVI","PIAB","PIBA","PIEN","PIGL","PIMA","PIOM","PIPU","PIRU","PNMU","PNNI","PNRE","PNST","PNSY","POCA","PODE","PONI","PRAV","PRCE","PRCR","PRDO","PRMA","PRNI"
"1",13,20,13,0,146,0,32,389,12,68,2,12,0,0,18,5,0,12,18,2,2,2,5,0,2,2,16,1,4,1,12,1,1,2,22,0,5,2,1,2,1,1,0,0,0,0,14,11,2,0,1,55,4,3,2,1,7,112,2,6,96,15,1,1,4,1,6,2,11,1,3,1,13,1,0,5,2,1,2,1,7,1,23,0,1,21,0,3,9,1,0,0,4,20,0,2,0,0,1,5,2,15,1,1,0,2,0,1,32,1,1,35,9,0,86,11,0,30,20,10,2,0,5,3,10,4,3,9,0,0
"2",5,72,12,6,47,1,0,652,9,551,37,12,2,5,6,5,2,2,8,18,2,0,0,5,5,15,1,0,0,0,27,0,4,0,138,4,6,0,0,0,0,0,9,1,9,10,0,12,0,1,0,1,0,0,0,3,17,173,0,52,278,116,0,0,2,0,1,0,0,6,20,0,0,4,2,10,0,4,0,0,2,0,2,1,0,70,2,0,0,0,1,8,0,13,22,4,2,2,0,1,0,1,0,11,6,0,3,0,37,0,0,16,1,3,64,7,1,66,4,4,28,2,3,0,0,3,0,1,1,2
