"","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Invasive.Source","Comments"
"42","S","S20","AC","ACPL","ACPLRR","Acer platanoides 'Royal Red'","Royal Red Norway Maple","N","N","USDA/TC","WI/Mortens",""
"43","S","S20","AC","ACPL","ACPLSC","Acer platanoides 'Schwedleri'","Schwedleri Norway Maple","N","N","USDA/TC","WI/Mortens",""
"44","S","S20","AC","ACPL","ACPLSP","Acer platanoides 'Superform'","Superform Norway Maple","N","N","USDA/TC","WI/Mortens",""
"45","S","S20","AC","ACPL","ACPLSU","Acer platanoides 'Summershade'","Summershade Norway Maple","N","N","USDA/TC","WI/Mortens",""
"46","S","S73","AC","ACPL","ACPL","Acer platanoides","Norway Maple","N","N","USDA/TC","WI/Mortens",""
"47","S","S73","AC","ACPL","ACPLCB","Acer platanoides 'Columnarbroad'","Parkway Norway Maple","N","N","USDA/TC","WI/Mortens",""
"48","S","S73","AC","ACPL","ACPLCK","Acer platanoides 'Crimson King'","Crimson King Norway Maple","N","N","USDA/TC","WI/Mortens",""
"49","S","S73","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'","Columnare Norway Maple","N","N","USDA/TC","WI/Mortens",""
"50","S","S73","AC","ACPL","ACPLCS","Acer platanoides 'Crimson Sentry'","Crimson Sentry Norway Maple","N","N","USDA/TC","WI/Mortens",""
"51","S","S73","AC","ACPL","ACPLDE","Acer platanoides 'Deborah'","Deborah Norway Maple","N","N","USDA/TC","WI/Mortens",""
"52","S","S73","AC","ACPL","ACPLEL","Acer Platanoides 'Emerald Lustre'","Acer Platanoides 'Emerald Lustre'","N","N","USDA/TC","WI/Mortens",""
"53","S","S73","AC","ACPL","ACPLEQ","Acer platanoides 'Emerald Queen'","Emerald Queen Norway Maple","N","N","USDA/TC","WI/Mortens",""
"54","S","S73","AC","ACPL","ACPLRR","Acer platanoides 'Royal Red'","Royal Red Norway Maple","N","N","USDA/TC","WI/Mortens",""
"55","S","S73","AC","ACPL","ACPLSC","Acer platanoides 'Schwedleri'","Schwedleri Norway Maple","N","N","USDA/TC","WI/Mortens",""
"56","S","S73","AC","ACPL","ACPLSP","Acer platanoides 'Superform'","Superform Norway Maple","N","N","USDA/TC","WI/Mortens",""
"57","S","S73","AC","ACPL","ACPLSU","Acer platanoides 'Summershade'","Summershade Norway Maple","N","N","USDA/TC","WI/Mortens",""
"58","S","S3","AC","ACPL","ACPL","Acer platanoides","Norway Maple","N","N","USDA/TC","WI/Mortens",""
"59","S","S3","AC","ACPL","ACPLCB","Acer platanoides 'Columnarbroad'","Parkway Norway Maple","N","N","USDA/TC","WI/Mortens",""
"60","S","S3","AC","ACPL","ACPLCK","Acer platanoides 'Crimson King'","Crimson King Norway Maple","N","N","USDA/TC","WI/Mortens",""
"61","S","S3","AC","ACPL","ACPLCO","Acer platanoides 'Columnare'","Columnare Norway Maple","N","N","USDA/TC","WI/Mortens",""
"62","S","S3","AC","ACPL","ACPLCS","Acer platanoides 'Crimson Sentry'","Crimson Sentry Norway Maple","N","N","USDA/TC","WI/Mortens",""
"63","S","S3","AC","ACPL","ACPLDE","Acer platanoides 'Deborah'","Deborah Norway Maple","N","N","USDA/TC","WI/Mortens",""
"64","S","S3","AC","ACPL","ACPLEL","Acer Platanoides 'Emerald Lustre'","Acer Platanoides 'Emerald Lustre'","N","N","USDA/TC","WI/Mortens",""
"65","S","S3","AC","ACPL","ACPLEQ","Acer platanoides 'Emerald Queen'","Emerald Queen Norway Maple","N","N","USDA/TC","WI/Mortens",""
"66","S","S3","AC","ACPL","ACPLRR","Acer platanoides 'Royal Red'","Royal Red Norway Maple","N","N","USDA/TC","WI/Mortens",""
"67","S","S3","AC","ACPL","ACPLSC","Acer platanoides 'Schwedleri'","Schwedleri Norway Maple","N","N","USDA/TC","WI/Mortens",""
"68","S","S3","AC","ACPL","ACPLSP","Acer platanoides 'Superform'","Superform Norway Maple","N","N","USDA/TC","WI/Mortens",""
"69","S","S3","AC","ACPL","ACPLSU","Acer platanoides 'Summershade'","Summershade Norway Maple","N","N","USDA/TC","WI/Mortens",""
"70","I","I1","AC","ACRU","ACRU","Acer rubrum","Red Maple","Y","Y","USDA/LM/TC","WI",""
"71","I","I1","AC","ACRU","ACRUAR","Acer rubrum 'Armstrong'","Armstrong Red Maple","Y","Y","USDA/LM/TC","WI",""
"72","A","A7","AC","ACSA","ACSA","Acer saccharinum","Silver Maple","Y","Y","USDA/LM","WI",""
"73","A","A7","AC","ACSA","ACSAMO","Acer saccharinum 'Montréal'","Montréal Siler Maple","Y","Y","USDA/LM","WI",""
"74","A","A7","AC","ACSA","ACSAPY","Acer saccharinum 'Pyramidalis'","Pyramidale Silver Maple","Y","Y","USDA/LM","WI",""
"75","S","S3","AC","ACSA","ACSA","Acer saccharinum","Silver Maple","Y","Y","USDA/LM","WI",""
"76","S","S3","AC","ACSA","ACSAMO","Acer saccharinum 'Montréal'","Montréal Siler Maple","Y","Y","USDA/LM","WI",""
"77","S","S3","AC","ACSA","ACSAPY","Acer saccharinum 'Pyramidalis'","Pyramidale Silver Maple","Y","Y","USDA/LM","WI",""
"78","I","I4","AC","ACSC","ACSC","Acer saccharum","Sugar Maple","Y","Y","TC/LM","WI",""
"79","I","I4","AC","ACSC","ACSCAP","Acer saccharum 'Apollo'","Acer saccharum Apollo","Y","Y","TC/LM/Mortens","WI",""
"80","I","I4","AC","ACSC","ACSCTU","Acer saccharum 'Temple Upright'","Temple Upright Sugar Maple","Y","Y","TC/LM","WI",""
