"","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","DBH","Native_SLL","Native_ETF"
"62","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"63","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"64","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"65","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"66","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"67","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"68","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"69","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","Y"
"70","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","N"
"71","Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum",5,"N","N"
"72","Public","Street","S","S86","AC","ACTA","ACTA","Acer tataricum",5,"N","N"
"73","Public","Street","S","S86","AC","ACTA","ACTA","Acer tataricum",5,"N","N"
"74","Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'",5,"Y","Y"
"75","Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'",5,"Y","Y"
"76","Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'",5,"Y","Y"
"77","Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'",5,"Y","Y"
"78","Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'",5,"Y","Y"
"79","Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'",5,"Y","Y"
"80","Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'",5,"Y","Y"
"81","Public","Street","S","S75","AE","AEGL","AEGL","Aesculus glabra",11,"N","Y"
"82","Public","Street","S","S86","AL","ALGL","ALGL","Alnus glutinosa",5,"N","N"
"83","Public","Street","S","S86","AL","ALGL","ALGL","Alnus glutinosa",5,"N","N"
"84","Public","Parc","P","P3","AM","AM","AM","Amelanchier",7,"Y","Y"
