"","ABBA","ACFR","ACRU","ACSA","ACSC","AMCA","AMGR","AMLA","BEAL","CEOC","CGPU","CRCA","CRCO","FRAM","FRPE","JNCO"
"S1084",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"S1085",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"S1088",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"S1089",0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,0
"S1090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"S1091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S1092",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"S1093",0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0
"S1094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"S1095",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"S1097",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1098",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1099",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"S11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S110",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S1100",0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
"S1101",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1102",0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"S1103",0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0
"S1104",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S1105",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S1106",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"S1107",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S1108",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"S1109",0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
"S112",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S113",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"S116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S117",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"S119",0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0
"S12",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S120",5,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
"S124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S15",0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
"S16",0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0
"S18",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S21",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S22",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S24",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S25",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S29",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S3",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S32",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S33",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"S35",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"S36",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"S38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S43",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S44",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"S45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S50",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"S55",0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"S56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S60",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
