"","ABBA","ACFR","ACGI","ACNE","ACPA","ACPL","ACRU","ACTA","AEHI","ALGL","AMAR","AMCA","AMSA","ARSP","BEPA","BEPO","BRPA","CAAB","CECA","CGPU","COAL","CTCO","CTSP","EUAL","EUEU","FRPE","FRPR","GIBI","GLTR","GYDI","HEMI","HYAR","HYPA","JUCI","JUNI","JUVI","LADE","LIVU","LOPE","MAIO","MASY","MOAL","MORU","OSVI","PIAB","PIBA","PIGL","PIMA","PIPU","PIRU","PNNI","PNRE","PNST","PNSY","PODE","PONI","PRAV","PRCE","PRCR","PRDO","PRPE","PRVI","QUMA","QURU","RHAR","RHCA","RHTY","ROCA","ROPS","SAAL","SACA","SAHU","SOAM","SOAU","SOTH","SYPU","SYRE","SYVU","TACA","THOC","TIAM","TICO","TSCA","ULAM","ULMI","ULPU","ULRU","VIAC"
"Y113",0,1,0,6,6,10,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,6,0,0,0,0
"Y114",0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
"Y115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Y116",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Y117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y118",0,0,6,1,1,9,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,6,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,2,25,0,2,0,0,1,1,0,0
"Y119",0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
"Y12",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
