"","ABBA","ACFR","ACGI","ACNE","ACPA","ACPL","ACRU","ACSA","ACSC","AEHI","AMCA","BEPA","BEPE","CEOC","CTSP","ELAN","EUAL","FAGR","FRPE","GLTR","GYDI","JUNI","LALA","MA","MASS","MASY","MOAL","PIAB","PIGL","PIPU","PNNI","PNRE","PNST","PNSY","PODE","PRCE","PRVI","QUMA","QURU","RHCA","RHTY","SACA","SADI","SYVU","TACA","THOC","TIAM","TICO","ULAM","ULMO","ULPU","ULRU"
"I1",0,5,0,2,0,51,2,25,9,3,1,0,0,1,0,1,6,1,3,2,0,1,0,0,0,0,3,11,10,15,22,0,2,0,1,1,6,6,8,1,2,0,1,0,19,25,4,8,0,0,1,2
"I2",0,0,1,0,0,10,0,11,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,8,1,6,0,0,0,0
"I3",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"I4",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,67,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I5",0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0
"I6",2,5,0,11,3,42,0,48,1,5,0,2,1,5,5,0,0,0,8,8,2,0,4,6,4,0,0,0,9,6,0,2,0,1,1,0,0,1,8,0,0,0,0,3,0,2,2,0,1,1,20,0
