"","ABBA","ACFR","ACGI","ACNE","ACNI","ACPA","ACPL","ACRU","ACSA","ACSC","ACTA","AEGL","AEHI","ALGL","AM","AMAR","AMCA","AMGR","AMSA","ARSP","BENI","BEPA","BEPE","BEPO","BRPA","CAAB","CDJA","CECA","CEOC","CGMO","CGPU","COAL","COSA","CRCO","CTCO","CTSP","ELAN","EUAL","EUEU","FAGR","FRAM","FRPE","FRPR","GIBI","GLTR","GYDI","HEMI","HYAR","HYPA","JUCI","JUNI","JUVI","LADE","LALA","LIVU","LOPE","MAIO","MAPR","MARO","MASS","MASY","MATH","MOAL","MORU","OSVI","PIAB","PIBA","PIGL","PIMA","PIPU","PIRU","PNNI","PNRE","PNST","PNSY","POCA","PODE","PONI","PRAV","PRCE","PRCR","PRDO","PRPE","PRVI","PYCA","QUBI","QUMA","QURO","QURU","RHAR","RHCA","RHGL","RHTY","ROCA","ROPS","SAAL","SACA","SADI","SAHU","SOAM","SOAU","SOTH","SYPU","SYRE","SYVU","TACA","THOC","TIAM","TICO","TSCA","ULAM","ULCA","ULDA","ULHO","ULLA","ULMG","ULMI","ULMO","ULNH","ULPU","ULRU","VIAC","ZESE"
"Alley",0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,7,0,0,0,1,0,0,0,0,5,0,0,0
"Institutional",2,8,1,15,0,3,103,2,0,0,0,0,11,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,1,0,81,0,0,18,4,0,0,0,0,1,0,0,4,0,0,0,0,0,4,2,0,4,0,0,11,0,19,0,22,0,24,2,4,1,0,2,0,0,1,0,0,0,6,0,0,7,0,17,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,6,19,42,0,14,0,2,0,0,0,0,0,0,0,0,25,2,0,0
"Parc",0,1,0,0,1,0,12,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,31,6,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"Private",2,4,7,73,0,15,132,4,0,0,11,0,4,2,0,11,7,0,2,5,0,11,0,3,1,8,0,2,0,0,1,1,0,0,4,4,0,26,2,0,0,18,1,3,44,8,1,1,1,1,1,13,1,0,2,7,9,0,0,0,16,0,8,1,1,7,1,8,8,32,2,5,15,1,1,0,1,1,4,2,1,3,1,15,0,0,2,0,3,2,16,0,2,1,21,1,2,0,1,2,2,1,2,13,38,21,171,1,14,1,27,0,0,0,0,0,3,0,0,26,13,1,0
"Street",5,29,0,1,0,0,42,0,95,0,1,3,0,3,0,0,1,15,0,0,1,0,0,0,0,0,1,0,52,0,0,0,0,10,0,1,0,0,0,0,0,21,0,15,108,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,6,32,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,6,47,0,25,5,12,22,0,4,0,63,6,8,0,0,1
