"","ABBA","ACFR","ACRU","ACSA","ACSC","AM","AMAR","AMCA","AMGR","AMLA","AMSA","BEAL","BEPA","BEPO","CEOC","CGPU","CNRU","COAL","CRCA","CRCO","CYCO","FAGR","FRAM","FRPE","JNCO","JNVI","JUCI","JUNI","JUVI","LALA","OSVI","PIBA","PIGL","PIMA","PIRU","PNRE","PNST","PODE","PRNI","PRSE","PRVI","QUAL","QUBI","QUMA","QURU","RHAR","RHGL","RHTY","RUTY","SACA","SADI","SOAM","TACA","THOC","TIAM","TSCA","ULAM","ULRU","VIAC","VILE"
"Alley",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,1,0,6,0,0,7,0,0,0
"Inst",0,5,3,55,1,0,1,1,1,1,0,0,0,0,16,4,1,0,0,0,0,0,4,8,3,10,0,1,0,0,0,0,1,0,1,3,1,1,0,1,5,0,1,3,2,0,0,0,1,0,0,0,6,138,6,0,19,0,0,0
"Institutional",2,8,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,81,0,0,0,1,0,4,0,0,19,0,0,2,4,2,0,0,6,0,0,7,17,0,0,2,0,1,1,0,19,42,0,0,2,2,0,0
"Parc",0,1,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0
"Park",0,16,6,144,25,0,2,1,0,0,0,1,0,0,33,5,0,0,1,0,0,0,9,35,0,0,4,16,0,10,0,0,10,0,4,2,2,2,1,1,8,0,4,15,5,0,0,0,9,0,0,0,5,113,26,0,9,0,0,29
"Private",11,7,7,13,1,0,11,14,1,1,2,2,14,4,6,1,0,1,0,0,2,1,3,23,3,1,1,1,13,1,1,1,15,9,10,15,5,2,0,2,24,1,1,4,3,2,0,2,3,2,1,2,52,484,5,2,38,13,1,1
"Row",0,26,3,304,10,0,0,3,3,2,0,4,0,0,52,1,0,0,8,0,0,0,7,113,1,0,2,3,0,0,7,0,6,0,3,2,1,0,1,0,5,3,4,6,56,0,0,0,0,0,0,0,0,12,10,0,2,0,0,0
"Street",5,29,0,95,0,0,0,1,15,0,0,0,0,0,53,0,0,0,0,10,0,0,0,23,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,32,1,0,0,0,0,0,0,0,0,0,6,0,25,0,0,0
