Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Equations,Type of Tree
PR,PRDO,PRDO,Prunus domestica,,Deciduous
PR,PRPE,PRPE,Prunus pensylvanica,,Deciduous
PR,PRVI,PRVI,Prunus virginiana,,Deciduous
PR,PR,PR,Prunus x ,,Deciduous
PY,PYCA,PYCACH,Pyrus calleryana 'Glen's Form (Chantecleer),,Deciduous
QU,QUBI,QUBI,Quercus bicolor,,Deciduous
QU,QUMA,QUMA,Quercus macrocarpa,,Deciduous
QU,QURO,QURO,Quercus robur,,Deciduous
QU,QURO,QUROFA,Quercus robur 'Fastigiata',,Deciduous
QU,QURU,QURU,Quercus rubra,,Deciduous
RH,RHCA,RHCA,Rhamnus cathartica,,Deciduous
RH,RHAR,RHAR,Rhus aromatica,,Deciduous
RH,RHGL,RHGL,Rhus glabra,,Deciduous
RH,RHTY,RHTY,Rhus typhina,,Deciduous
RO,ROPS,ROPS,Robinia pseudoacacia,,Deciduous
RO,ROCA,ROCA,Rosa canina,,Deciduous
SA,SAAL,SAAL,Salix alba,,Deciduous
SA,SADI,SADI,Salix discolor,,Deciduous
SA,SAHU,SAHU,Salix humboldtiana,,Deciduous
SA,SACA,SACA,Sambucus canadensis,,Deciduous
SO,SOAM,SOAM,Sorbus americana ,,Deciduous
SO,SOAU,SOAU,Sorbus aucuparia,,Deciduous
SO,SOTH,SOXXTH,Sorbus_x_thuringiaca,,Deciduous
SY,SYPU,SYPU,Syringa pubescens,,Deciduous
SY,SYRE,SYRE,Syringa reticulata,,Deciduous
SY,SYRE,SYREIS,Syringa reticulata 'Ivory Silk',,Deciduous
SY,SYVU,SYVU,Syringa vulgaris,,Deciduous
TA,TACA,TACA,Taxus canadensis,,Conifer
TH,THOC,THOC,Thuja occidentalis,,Conifer
TI,TIAM,TIAM,Tilia americana,,Deciduous
TI,TIAM,TIAMHE,Tilia americana var. heterophylla,,Deciduous
TI,TICO,TICO,Tilia cordata,,Deciduous
TI,TICO,TICOGL,Tilia cordata 'Glenleven',,Deciduous
TI,TICO,TICOGR,Tilia cordata 'Greenspire',,Deciduous
TI,TICO,TICOSH,Tilia cordata 'Sheridan',,Deciduous
TS,TSCA,TSCA,Tsuga caroliana ,,Conifer
UL,UL,UL,Ulmus,,Deciduous
UL,ULAM,ULAM,Ulmus americana,,Deciduous
UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',,Deciduous
UL,ULLA,ULLA,Ulmus laevis,,Deciduous
UL,ULMI,ULMI,Ulmus minor Mill.,,Deciduous
UL,ULPU,ULPU,Ulmus pumila,,Deciduous
UL,ULPU,ULPUPR,Ulmus pumila 'Park Royal',,Deciduous
UL,ULRU,ULRU,Ulmus rubra,,Deciduous
UL,ULCA,ULXXCA,Ulmus X 'Cathedral',,Deciduous
UL,ULHO,ULXXHO,Ulmus x 'Homestead',,Deciduous
UL,ULMG,ULXXMG,Ulmus x 'Morton Glossy' (Triumph TM),,Deciduous
UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),,Deciduous
UL,ULHO,ULHOPI,Ulmus x hollandica 'Pioneer',,Deciduous
UL,ULNH,ULXXNH,Ulmus x New Horizon,,Deciduous
VI,VIAC,VIAC,Viburnum acerifolium,,Deciduous
WE,WEFL,WEFL,Weigela Florida,,Deciduous
ZE,ZESE,ZESE,Weigela Florida,,Deciduous
ZE,ZESE,ZESEGV,Zelkova serrata 'Green Vase',,Deciduous
