"","ABBA","ACFR","ACNE","ACRU","ACSA","ACSC","AEGL","AM","AMAR","AMCA","AMGR","AMSA","ARSP","BENI","BEPA","BEPO","CECA","CEOC","CGPU","COAL","CPCA","CRCO","CTSP","FAGR","FRAM","FRPE","FRPR","GLTR","GYDI","HYAR","JUCI","JUNI","JUVI","LALA","MAIO","MORU","OSVI","PIBA","PIGL","PIMA","PIRU","PNRE","PNST","PODE","PRVI","QUBI","QUMA","QURU"
"Private",4,14,113,6,126,37,0,0,11,13,0,2,5,0,14,3,2,32,1,1,1,0,9,1,1,101,1,62,12,1,1,3,13,4,9,1,3,1,28,9,2,17,5,4,26,0,10,20
"Public",5,30,1,0,103,2,3,2,0,1,15,0,0,1,0,0,0,53,0,0,0,10,1,0,0,23,0,139,94,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,6,32,3
