"","X.x","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code.x","Species.Latin.x","DBH","X.y","Cultivar.Code.y","Species.Latin.y","Species.Common","Native_SLL","Native_ETF","Origin.Source","Comments"
"1",1,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea",16.5,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"2",2,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea",8.1,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"3",3,"Loyola",2,"Private","Private","Y","Y1011","AB","ABBA","ABBA","Abies Balsamea",16.7,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"4",4,"Loyola",2,"Private","Private","Y","Y1046","AB","ABBA","ABBA","Abies Balsamea",5.2,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"5",5,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",7.2,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"6",6,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",8,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"7",7,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",4.8,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"8",8,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea",8.7,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"9",9,"Loyola",2,"Private","Private","Y","Y1086","AB","ABBA","ABBA","Abies Balsamea",14.6,1,"ABBA","Abies Balsamea","Balsam fir","Y","Y","USDA/TC/LM",""
"10",10,"Loyola",2,"Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'",4.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"11",11,"Loyola",2,"Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'",5,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"12",12,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii 'Autumn Blaze'",4.8,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"13",13,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",4.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"14",14,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",7.7,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"15",15,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",17.4,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"16",16,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",21.5,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"17",17,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",21.8,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"18",18,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",22.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"19",19,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",24.4,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"20",20,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",28,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"21",21,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii",32.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"22",22,"Loyola",2,"Public","Park","P","P1006","AC","ACFR","ACFR","Acer Freemannii",59.7,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"23",23,"Loyola",2,"Public","Park","P","P1006","AC","ACFR","ACFR","Acer Freemannii",19.8,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"24",24,"Loyola",2,"Public","Park","P","P1007","AC","ACFR","ACFR","Acer Freemannii",16.5,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"25",25,"Loyola",2,"Public","Park","P","P1007","AC","ACFR","ACFR","Acer Freemannii",18.7,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"26",26,"Loyola",2,"Private","Inst","I","I1016","AC","ACFR","ACFR","Acer Freemannii",84.6,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"27",27,"Loyola",2,"Private","Inst","I","I1016","AC","ACFR","ACFR","Acer Freemannii",9.7,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"28",28,"Loyola",2,"Private","Inst","I","I1002","AC","ACFR","ACFR","Acer Freemannii",13.4,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"29",29,"Loyola",2,"Private","Inst","I","I1006","AC","ACFR","ACFR","Acer Freemannii",83.1,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"30",30,"Loyola",2,"Private","Inst","I","I1006","AC","ACFR","ACFR","Acer Freemannii",68,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"31",31,"Loyola",2,"Public","Row","S","S1015","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",7.4,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"32",32,"Loyola",2,"Public","Row","S","S1027","AC","ACFR","ACFR","Acer x freemanii 'Marmo'",NA,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"33",33,"Loyola",2,"Public","Row","S","S1048","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",12.7,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"34",34,"Loyola",2,"Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'",4.5,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"35",35,"Loyola",2,"Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",33,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"36",36,"Loyola",2,"Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",38.3,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"37",37,"Loyola",2,"Public","Row","S","S1062","AC","ACFR","ACFR","Acer x 'freemannii'",56.1,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"38",38,"Loyola",2,"Public","Row","S","S1064","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",27.8,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"39",39,"Loyola",2,"Public","Row","S","S1066","AC","ACFR","ACFR","Acer x freemanii 'Autumn Fantasy'",14.4,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"40",40,"Loyola",2,"Public","Row","S","S1066","AC","ACFR","ACFR","Acer x freemanii 'Autumn Fantasy'",11,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"41",41,"Loyola",2,"Public","Row","S","S1068","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'",9.6,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"42",42,"Loyola",2,"Public","Row","S","S1068","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'",9.6,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"43",43,"Loyola",2,"Public","Row","S","S1075","AC","ACFR","ACFR","Acer x freemanii",81.2,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"44",44,"Loyola",2,"Public","Row","S","S1076","AC","ACFR","ACFR","Acer x freemanii",48.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"45",45,"Loyola",2,"Public","Row","S","S1077","AC","ACFR","ACFR","Acer x freemanii 'Firefall'",16.8,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"46",46,"Loyola",2,"Public","Row","S","S1077","AC","ACFR","ACFR","Acer rubrum 'Armstrong'",29.6,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"47",47,"Loyola",2,"Public","Row","S","S1077","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",4.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"48",48,"Loyola",2,"Public","Row","S","S1093","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",5,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"49",49,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",22.2,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"50",50,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",24.3,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"51",51,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",7.7,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"52",52,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",29.2,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"53",53,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",6.7,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"54",54,"Loyola",2,"Public","Row","S","S1101","AC","ACFR","ACFR","Acer x freemanii 'Marmo'",6,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"55",55,"Loyola",2,"Public","Row","S","S1102","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'",35.4,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"56",56,"Loyola",2,"Public","Row","S","S1105","AC","ACFR","ACFR","Acer x freemanii 'Celebration'",15.5,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"57",57,"Loyola",2,"Private","Private","Y","Y1016","AC","ACFR","ACFR","Acer Freemannii",71.6,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"58",58,"Loyola",2,"Private","Private","Y","Y1017","AC","ACFR","ACFR","Acer Freemannii",55.9,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"59",59,"Loyola",2,"Private","Private","Y","Y1066","AC","ACFR","ACFR","Acer Freemannii",6.6,2,"ACFR","Acer x freemannii","FREEMAN MAPLE","Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"60",60,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala",27.4,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"61",61,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala",34.6,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"62",62,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala",38.5,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"63",63,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala",40.1,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"64",64,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala",49.6,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"65",65,"Loyola",2,"Public","Park","P","P1006","AC","ACGI","ACGI","Acer Ginnala",23,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"66",66,"Loyola",2,"Private","Inst","I","I1015","AC","ACGI","ACGI","Acer Ginnala",6.2,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"67",67,"Loyola",2,"Private","Inst","I","I1015","AC","ACGI","ACGI","Acer Ginnala",5.8,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"68",68,"Loyola",2,"Private","Inst","I","I1015","AC","ACGI","ACGI","Acer Ginnala",6.4,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"69",69,"Loyola",2,"Public","Row","S","S1019","AC","ACGI","ACGI","Acer ginnala 'Flame'",5.3,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"70",70,"Loyola",2,"Public","Row","S","S1054","AC","ACGI","ACGI","Acer ginnala 'Flame'",6.4,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"71",71,"Loyola",2,"Public","Row","S","S1055","AC","ACGI","ACGI","Acer ginnala 'Ruby Slippers'",5.5,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"72",72,"Loyola",2,"Public","Row","S","S1065","AC","ACGI","ACGI","Acer ginnala 'Flame'",16,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"73",73,"Loyola",2,"Public","Row","S","S1082","AC","ACGI","ACGI","Acer ginnala 'Flame'",9.3,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"74",74,"Loyola",2,"Public","Row","S","S1094","AC","ACGI","ACGI","Acer ginnala 'Flame'",6.6,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"75",75,"Loyola",2,"Private","Private","Y","Y1050","AC","ACGI","ACGI","Acer Ginnala",12.9,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"76",76,"Loyola",2,"Private","Private","Y","Y1059","AC","ACGI","ACGI","Acer Ginnala",5.2,3,"ACGI","Acer Ginnala","Armur Maple","N","N","USDA/TC/Mortens",""
"77",77,"Loyola",2,"Public","Row","S","S1021","AC","ACMI","ACMIMO","Acer miyabei 'Morton' (State Street TM)",18.7,4,"ACMIMO","Acer miyabei 'Morton' (State Street TM)","Acer miyabei Morton (State Street)","N","N","Mortens",""
"78",78,"Loyola",2,"Public","Row","S","S1033","AC","ACMI","ACMIMO","Acer miyabei 'Morton' (State Street TM)",10.9,4,"ACMIMO","Acer miyabei 'Morton' (State Street TM)","Acer miyabei Morton (State Street)","N","N","Mortens",""
"79",79,"Loyola",2,"Public","Row","S","S1054","AC","ACMI","ACMIMO","Acer miyabei 'Morton' (State Street TM)",7.8,4,"ACMIMO","Acer miyabei 'Morton' (State Street TM)","Acer miyabei Morton (State Street)","N","N","Mortens",""
"80",80,"Loyola",2,"Public","Row","S","S1065","AC","ACMI","ACMIMO","Acer miyabei 'Morton' (State Street TM)",11,4,"ACMIMO","Acer miyabei 'Morton' (State Street TM)","Acer miyabei Morton (State Street)","N","N","Mortens",""
"81",81,"Loyola",2,"Public","Row","S","S1067","AC","ACMI","ACMIMO","Acer miyabei 'Morton' (State Street TM)",7.9,4,"ACMIMO","Acer miyabei 'Morton' (State Street TM)","Acer miyabei Morton (State Street)","N","N","Mortens",""
"82",82,"Loyola",2,"Public","Row","S","S1077","AC","ACMI","ACMIMO","Acer miyabei 'Morton' (State Street TM)",6.9,4,"ACMIMO","Acer miyabei 'Morton' (State Street TM)","Acer miyabei Morton (State Street)","N","N","Mortens",""
"83",83,"Loyola",2,"Public","Park","P","P1001","AC","ACNE","ACNE","Acer Negundo",9.3,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"84",84,"Loyola",2,"Public","Park","P","P1001","AC","ACNE","ACNE","Picea Pungens",20.3,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"85",85,"Loyola",2,"Public","Park","P","P1001","AC","ACNE","ACNE","Acer Negundo",20.3,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"86",86,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",5.2,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"87",87,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",6.7,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"88",88,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",17.3,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"89",89,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",36.1,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"90",90,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",48.5,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"91",91,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",58.9,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"92",92,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",64.1,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"93",93,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",69.6,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"94",94,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",70,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"95",95,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",85.9,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"96",96,"Loyola",2,"Public","Park","P","P1002","AC","ACNE","ACNE","Acer Negundo",147.4,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"97",97,"Loyola",2,"Public","Park","P","P1003","AC","ACNE","ACNE","Acer Negundo",5.6,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"98",98,"Loyola",2,"Public","Park","P","P1003","AC","ACNE","ACNE","Acer Negundo",7.7,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"99",99,"Loyola",2,"Public","Park","P","P1003","AC","ACNE","ACNE","Acer Negundo",48,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"100",100,"Loyola",2,"Public","Park","P","P1006","AC","ACNE","ACNE","Acer Negundo",53,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"101",101,"Loyola",2,"Public","Park","P","P1007","AC","ACNE","ACNE","Acer Negundo",47.7,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"102",102,"Loyola",2,"Private","Inst","I","I1013","AC","ACNE","ACNE","Acer Negundo",14.5,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"103",103,"Loyola",2,"Private","Inst","I","I1001","AC","ACNE","ACNE","Acer Negundo",12.1,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"104",104,"Loyola",2,"Private","Inst","I","I1001","AC","ACNE","ACNE","Acer Negundo",42.6,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"105",105,"Loyola",2,"Private","Inst","I","I1015","AC","ACNE","ACNE","Acer Negundo",15.3,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"106",106,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",117,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"107",107,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",31.1,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"108",108,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",33.3,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"109",109,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",37.7,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"110",110,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",34.7,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"111",111,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",45.5,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"112",112,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",30.6,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"113",113,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",45,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"114",114,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",103.7,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"115",115,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",78,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"116",116,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",79.8,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"117",117,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",138,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"118",118,"Loyola",2,"Private","Inst","I","I1009","AC","ACNE","ACNE","Acer Negundo",52.7,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"119",119,"Loyola",2,"Private","Inst","I","I1010","AC","ACNE","ACNE","Acer Negundo",30.5,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"120",120,"Loyola",2,"Private","Inst","I","I1010","AC","ACNE","ACNE","Acer Negundo",29.5,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"121",121,"Loyola",2,"Private","Inst","I","I1003","AC","ACNE","ACNE","Acer Negundo",60.8,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"122",122,"Loyola",2,"Private","Inst","I","I1003","AC","ACNE","ACNE","Acer Negundo",55.9,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
"123",123,"Loyola",2,"Private","Inst","I","I1003","AC","ACNE","ACNE","Acer Negundo",51.6,5,"ACNE","Acer negundo","Manitoba Maple","N","Y","USDA/TC/LM/Mortens",""
