"","ABBA","ACFR","ACRU","ACSA","ACSC","AM","AMAR","AMCA","AMGR","AMSA","BEPA","BEPO","CEOC","CGPU","COAL","CRCO","FAGR","FRAM","FRPE","JUCI","JUNI","JUVI","LALA","OSVI","PIBA","PIGL","PIMA","PIRU","PNRE","PNST","PODE","PRVI","QUBI","QUMA","QURU","RHAR","RHGL","RHTY","SACA","SADI","SOAM","TACA","THOC","TIAM","TSCA","ULAM","ULRU","VIAC"
"Private",4,12,6,0,0,0,11,10,0,2,13,3,0,1,1,0,1,0,99,1,2,13,4,1,1,27,8,2,17,5,3,21,0,9,20,2,0,4,3,1,2,40,213,1,1,29,15,1
"Public",5,30,0,103,2,2,0,4,15,0,1,0,53,0,0,10,0,1,25,0,1,0,0,4,0,0,1,0,0,1,1,4,6,33,3,0,1,0,0,0,1,0,6,17,0,33,0,0
