"","Var2","ABBA","ACFR","ACGI","ACNE","ACNI","ACPA","ACPL","ACRU","ACSA","ACSC","ACTA","AEGL","AEHI","ALGL","AM","AMAR","AMCA","AMGR","AMSA","ARSP","BENI","BEPA","BEPE","BEPO","BRPA","CAAB","CDJA","CECA","CEOC","CGMO","CGPU","COAL","COSA","CPCA","CRCO","CTCO","CTSP","ELAN","EUAL","EUEU","FAGR","FRAM","FRPE","FRPR","GIBI","GLTR","GYDI","HEMI","HYAR","HYPA","JUCI","JUNI","JUVI","LADE","LALA","LIVU","LOPE","MA","MADA","MAIO","MAKO","MAPR","MARO","MASS","MAST","MASY","MATH","MGSO","MOAL","MORU","OSVI","PIAB","PIBA","PIGL","PIMA","PIPU","PIRU","PNNI","PNRE","PNST","PNSY","POCA","PODE","PONI","PRAV","PRCE","PRCR","PRDO","PRPE","PRVI","PYCA","QUBI","QUMA","QURO","QURU","RHAR","RHCA","RHGL","RHTY","ROCA","ROPS","SAAL","SACA","SADI","SAHU","SOAM","SOAU","SOTH","SYPU","SYRE","SYVU","TACA","THOC","TIAM","TICO","TSCA","ULAM","ULCA","ULDA","ULHO","ULLA","ULMG","ULMI","ULMO","ULNH","ULPU","ULRU","VIAC","WEFL","ZESE"
"Private","Private",4,14,8,113,0,18,235,6,126,37,11,0,17,2,0,11,13,0,2,5,0,14,1,3,1,8,0,2,32,0,1,1,1,1,0,4,9,1,32,2,1,1,101,1,3,62,12,1,1,1,1,3,13,1,4,2,9,20,1,9,1,0,0,4,1,18,0,3,13,1,3,18,1,28,9,54,2,29,17,5,2,0,4,1,4,4,1,3,1,26,0,0,10,0,20,2,18,1,4,1,25,1,3,1,1,6,2,1,2,13,45,40,219,16,28,1,36,0,0,0,1,0,3,1,0,56,15,1,2,0
"Public","Public",5,30,0,1,1,0,54,0,103,2,1,3,0,3,2,0,1,15,0,0,1,0,0,0,0,0,1,0,53,1,0,0,0,0,10,0,1,0,0,0,0,0,23,0,21,139,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,22,0,0,0,2,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,1,6,32,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,17,60,0,26,5,12,22,0,4,0,63,6,8,0,0,0,4
